Down,Distance,Yardline,EP
1,20,99,-0.670221
1,19,99,-0.23341
1,15,99,-0.232561
1,13,99,0.117953
1,10,99,0.1864
1,7,99,0.306498
1,4,99,0.375917
1,2,99,0.343886
1,1,99,0.379752
1,20,98,-0.275411
1,19,98,-0.439619
1,15,98,-0.405925
1,13,98,-0.0186376
1,10,98,0.127084
1,7,98,0.345721
1,4,98,0.398117
1,2,98,0.150981
1,1,98,0.560628
2,2,99,0.130225
3,2,99,-0.0205942
3,1,98,0.247469
4,1,98,-0.279082
1,20,97,-0.530175
1,19,97,-0.417068
1,17,97,-0.24231
1,15,97,0.0364719
1,13,97,0.086931
1,7,97,0.35191
1,4,97,0.569865
1,3,97,0.541622
1,2,97,0.692668
1,10,97,0.264511
1,1,97,0.642035
2,2,98,0.285032
2,3,99,0.0909765
3,2,98,0.0380469
3,1,97,0.405049
4,3,99,-1.77011
4,1,97,-0.376447
1,20,96,-0.456234
1,19,96,-0.332733
1,17,96,0.0191232
1,15,96,-0.305128
1,13,96,0.146753
1,7,96,0.653883
2,7,99,-0.100999
1,2,96,0.723155
2,4,98,0.176253
1,10,96,0.443401
1,1,96,0.534135
2,4,99,0.0205561
2,2,97,0.532086
2,3,98,0.316102
3,2,97,0.237551
3,4,99,-0.572709
3,1,96,0.424935
4,3,98,-1.92423
1,19,95,-0.162547
1,17,95,-0.278684
2,20,99,-1.26672
1,15,95,-0.0652682
1,13,95,0.268711
2,13,98,-0.70451
2,10,99,-0.584189
1,4,95,0.742452
2,3,96,0.549959
1,1,95,0.587351
2,3,97,0.396299
2,2,96,0.512422
2,1,95,0.569748
3,4,98,-0.346337
3,2,96,0.264685
3,5,99,-0.736029
4,5,99,-2.606
4,1,95,-0.259211
1,19,94,0.0354891
1,17,94,0.0897348
1,15,94,0.377932
1,13,94,0.234482
2,15,99,-1.33653
1,4,94,0.762693
2,4,96,0.383642
1,14,96,0.176741
2,8,98,-0.182563
2,6,98,-0.0301207
1,1,94,0.91651
2,2,95,0.562614
2,4,97,0.329627
3,4,97,-0.215182
3,2,95,0.400716
3,5,98,-0.47472
4,5,98,-2.34727
4,2,95,-0.898901
4,1,94,-0.132978
1,19,93,-0.20605
2,24,99,0
2,23,98,0
1,17,93,0.144828
1,15,93,0.201104
2,16,96,-0.732257
2,12,97,-0.654369
1,4,93,0.72758
2,7,96,0.182978
1,14,97,0.046065
2,6,99,-0.198892
2,8,97,0.050063
2,7,98,-0.0323642
2,4,95,0.540583
1,1,93,0.819603
2,2,94,0.657098
2,2,93,0.68301
3,8,99,-1.57507
3,4,96,-0.17927
3,1,95,0.425457
3,7,99,-1.20547
3,2,94,0.391564
3,5,97,-0.463138
4,13,99,-2.89991
4,7,99,-3.02126
4,5,97,-2.07867
4,3,95,-1.65582
4,1,93,-0.177494
2,24,96,0
1,19,92,0.0438507
2,23,96,0
1,17,92,0.0295058
1,15,92,0.341501
2,16,98,-1.08726
2,17,99,-1.07564
1,4,92,1.01063
1,1,92,0.773971
1,14,99,-0.14538
2,6,97,0.203072
2,8,99,-0.313009
2,1,92,0.735551
3,1,94,0.558883
3,7,98,-1.23587
3,4,95,-0.0560007
3,2,93,0.496983
3,5,96,-0.482198
4,14,99,-3.09432
4,13,98,-2.93383
4,5,96,-2.18113
4,7,98,-2.86915
4,8,99,-3.08576
4,3,94,-1.60209
4,1,92,-0.206076
1,19,91,0.0462558
1,17,91,0.438668
1,15,91,0.479961
1,13,91,0.323085
2,18,99,-1.15835
2,14,95,-0.549285
2,16,99,-0.953072
2,10,94,-0.0551731
1,4,91,0.983388
1,14,98,-0.178038
2,6,96,0.239284
2,8,96,0.0579368
2,4,93,0.614361
1,1,91,0.966593
2,7,97,0.000647226
2,4,94,0.549089
2,2,92,0.71521
